Date,JPM_Close,Dividend,VIX_Close,Treasury_3M,Treasury_10Y,log_return,rolling_vol_21,annual_dividend,div_yield,yield_slope,rate_momentum,vix_jpm_corr,sentiment_score
2018-03-23,85.59688568115234,0.0,24.8700008392334,1.71,2.82,-0.027103140919346735,0.015804131186683282,0.56,0.0065422940980118735,1.1099999999999999,-0.010000000000000231,-0.8689292288572683,0.6016074139147402
2018-03-26,88.23651885986328,0.0,21.030000686645508,1.76,2.85,0.030372023093218785,0.01670458642385844,0.56,0.006346578573542648,1.09,0.03000000000000025,-0.8671281919137659,0.4546498832633985
2018-03-27,86.52473449707031,0.0,22.5,1.74,2.78,-0.019590602344015256,0.016696951823648203,0.56,0.006472137744831351,1.0399999999999998,-0.07000000000000028,-0.8698689350772506,0.5109070344523526
2018-03-28,86.38874816894531,0.0,22.8700008392334,1.7,2.77,-0.0015728832022089655,0.016617486574808864,0.56,0.006482325671681705,1.07,-0.009999999999999787,-0.902299085703126,0.5250670364086077
2018-03-29,87.96455383300781,0.0,19.969999313354492,1.7,2.74,0.018076498178065357,0.017042131137064247,0.56,0.006366200652402624,1.0400000000000003,-0.029999999999999805,-0.9094805016198193,0.4140834306290419
2018-04-02,86.26878356933594,0.0,23.6200008392334,1.74,2.73,-0.019466123266603113,0.017108499061710466,0.56,0.006491339935840372,0.99,-0.010000000000000231,-0.95363015282809,0.5537696779734074
2018-04-03,87.4526138305664,0.0,21.100000381469727,1.72,2.79,0.013629277732159696,0.01746256021236314,0.56,0.006403467837850595,1.07,0.06000000000000005,-0.9529125009913639,0.45732878479697836
2018-04-04,88.78042602539062,0.0,20.059999465942383,1.68,2.79,0.015069107611448399,0.01745440607599613,0.56,0.0063076966970156655,1.11,0.0,-0.957263591047793,0.41752775345638526
2018-04-05,89.94618225097656,0.56,18.940000534057617,1.69,2.83,0.01304531842438288,0.017744370846148876,1.12,0.012451890363449418,1.1400000000000001,0.040000000000000036,-0.9604398211194307,0.3746651829299227
2018-04-06,87.70316314697266,0.0,21.489999771118164,1.7,2.77,-0.025253549944650445,0.018506923930536396,1.12,0.012770348979581363,1.07,-0.06000000000000005,-0.9610420235514514,0.4722541350524047
2018-04-09,88.7563247680664,0.0,21.770000457763672,1.73,2.78,0.011936724270477782,0.018757792464075385,1.12,0.012618819029818193,1.0499999999999998,0.009999999999999787,-0.9591486354043258,0.48296981418131646
2018-04-10,90.45264434814452,0.0,20.469999313354492,1.71,2.8,0.01893175607406899,0.018106914262762966,1.12,0.012382169786979534,1.0899999999999999,0.020000000000000018,-0.9442388912381301,0.433218525005575
2018-04-11,88.93321228027344,0.0,20.239999771118164,1.7,2.79,-0.01694078267657089,0.018396697385969264,1.12,0.012593720290573951,1.09,-0.009999999999999787,-0.9367793881558573,0.42441639911107193
2018-04-12,91.1440658569336,0.0,18.489999771118164,1.72,2.83,0.02455573174863823,0.019183415667517942,1.12,0.012288238290335152,1.11,0.040000000000000036,-0.9299536929739509,0.35744356879320605
2018-04-13,88.6759262084961,0.0,17.40999984741211,1.73,2.82,-0.0274529503707818,0.01992967868489812,1.12,0.012630259957664725,1.0899999999999999,-0.010000000000000231,-0.8770554517493542,0.3161117678596782
2018-04-16,88.60356903076172,0.0,16.559999465942383,1.76,2.83,-0.0008163062699911977,0.019907430354095288,1.12,0.012640574327329346,1.07,0.010000000000000231,-0.7938317796647227,0.28358209282065344
2018-04-17,88.60356903076172,0.0,15.25,1.77,2.82,0.0,0.019895264865556348,1.12,0.012640574327329346,1.0499999999999998,-0.010000000000000231,-0.6609173163931507,0.2334481659926225
2018-04-18,87.88805389404297,0.0,15.600000381469728,1.78,2.87,-0.008108249501121522,0.01989821131484374,1.12,0.012743483902263462,1.09,0.050000000000000266,-0.5818045952841301,0.2468427466551142
2018-04-19,89.8175277709961,0.0,15.960000038146973,1.79,2.92,0.021716253208283062,0.020555984776299614,1.12,0.012469726430854523,1.13,0.04999999999999982,-0.5964800490013549,0.2606200014671914
2018-04-20,89.6165542602539,0.0,16.8799991607666,1.78,2.96,-0.002240082736869473,0.020553126361150694,1.12,0.012497690959500934,1.18,0.040000000000000036,-0.6140646939911931,0.2958285415424999
2018-04-23,89.18241882324219,0.0,16.34000015258789,1.84,2.98,-0.00485613851887261,0.018264242595370205,1.12,0.012558529077573218,1.14,0.020000000000000018,-0.6278713469747812,0.2751626775730321
2018-04-24,88.76435852050781,0.0,18.020000457763672,1.84,3.0,-0.004698720349251793,0.01718359523119509,1.12,0.012617676944527674,1.16,0.020000000000000018,-0.5392727080219265,0.3394566063573181
2018-04-25,88.42670440673828,0.0,17.84000015258789,1.82,3.03,-0.0038111913422551385,0.015906345033385297,1.12,0.012665857079195344,1.2099999999999997,0.029999999999999805,-0.5312130606754797,0.3325679607026314
2018-04-26,88.51515197753906,0.0,16.239999771118164,1.79,3.0,0.0009997360712145672,0.015252922965970746,1.12,0.012653200892477741,1.21,-0.029999999999999805,-0.4530948576748484,0.271335644098807
